station_id,station_name,lat,lon,ridership_2024_total,line_name,community_area,community
41510,Morgan-Lake,41.885576788726354,-87.65212799206752,1106393,"Green (Lake), Pink",28,NEAR WEST SIDE
40790,Monroe/Dearborn,41.88070346119076,-87.62937770045221,1103491,Blue Line,32,LOOP
40070,Jackson/Dearborn,41.87818251886981,-87.62929566463735,1090452,Blue Line,32,LOOP
41300,Loyola,42.0010733596017,-87.6610607008597,1071488,Red Line,1,ROGERS PARK
40650,North/Clybourn,41.910654580560376,-87.64917726687139,1060041,Red Line,8,NEAR NORTH SIDE
40060,Belmont-O'Hare,41.93813166977896,-87.71235935057341,1049712,Blue Line,21,AVONDALE
40900,Howard,42.01906322017403,-87.6728924507902,1037311,"Evanston Express, Purple, Red, Yellow",1,ROGERS PARK
40240,79th,41.75041234272969,-87.62517835384935,1017614,Red Line,44,CHATHAM
40350,UIC-Halsted,41.8755162091606,-87.64964223079026,1010950,Blue Line,28,NEAR WEST SIDE
40670,Western/Milwaukee,41.916157429131374,-87.6873643813982,1004555,Blue Line (O'Hare),22,LOGAN SQUARE
40570,California/Milwaukee,41.92193917150245,-87.6968897987879,1002276,Blue Line (O'Hare),22,LOGAN SQUARE
40530,Diversey,41.93273150100663,-87.65313085718888,961455,"Brown, Purple (Express)",6,LAKE VIEW
40960,Pulaski-Orange,41.85326133894191,-87.72495126654842,941912,"Blue Line (Congress), Green Line (Lake), Orange Line, Pink",29,NORTH LAWNDALE
41200,Argyle,41.97345332287952,-87.65852996352429,902089,Red Line,3,UPTOWN
41290,Kimball,41.9679281515236,-87.71314203532829,859909,Brown Line,14,ALBANY PARK
40080,Sheridan,41.95377494743192,-87.65492939219291,850053,Red Line,6,LAKE VIEW
40660,Armitage,41.91821656808861,-87.65264430600404,844221,"Brown, Purple (Express)",7,LINCOLN PARK
40100,Morse,42.00836181944306,-87.6659090897442,827039,Red Line,1,ROGERS PARK
40800,Sedgwick,41.91040918029724,-87.63930216454519,816815,"Brown, Purple (Express)",8,NEAR NORTH SIDE
40550,Irving Park-O'Hare,41.95294026172351,-87.72917726558204,812302,Blue Line,16,IRVING PARK
41490,Harrison,41.8740392440544,-87.62747911770376,808759,Red Line,32,LOOP
41410,Chicago/Milwaukee,41.89607523740354,-87.65521427917491,786573,Blue Line,24,WEST TOWN
41160,Clinton-Lake,41.88062116433759,-87.64137776042992,786393,"Blue Line, Green (Lake), Pink",28,NEAR WEST SIDE
40850,Library,41.876908340423775,-87.62820914456076,778953,"Brown, Orange, Pink, Purple (Express)",32,LOOP
40190,Sox-35th-Dan Ryan,41.83119056018904,-87.63063629512068,772390,Red Line,34,ARMOUR SQUARE
40990,69th,41.768367865867056,-87.62580935004172,769853,Red Line,69,GREATER GRAND CROSSING
40760,Granville,41.99366426103333,-87.65920227948938,756637,Red Line,77,EDGEWATER
40310,Western-Orange,41.87521500493779,-87.6865453311916,738636,"Blue Line (Congress), Brown Line, Orange Line, Pink",28,NEAR WEST SIDE
40360,Southport,41.94381225617526,-87.66360955994172,695137,Brown Line,6,LAKE VIEW
41150,Kedzie-Midway,41.87722317466901,-87.70618695886071,686523,"Brown Line, Green Line (Lake), Orange Line, Pink",27,EAST GARFIELD PARK
41480,Western-Brown,41.87521500493779,-87.6865453311916,665090,"Blue Line (Congress), Brown Line, Orange Line, Pink",28,NEAR WEST SIDE
40490,Grand/Milwaukee,41.89118929406765,-87.64757831015247,664029,Blue Line (O'Hare),24,WEST TOWN
40230,Cumberland,41.98429405782801,-87.83802598504772,662605,Blue Line,76,OHARE
41030,Polk,41.871563004328266,-87.66954322799872,647638,Pink,28,NEAR WEST SIDE
40170,Ashland-Lake,41.86233363718643,-87.66613129997071,628077,"Green (Lake), Orange Line, Pink",28,NEAR WEST SIDE
40880,Thorndale,41.99025949401919,-87.6590758588342,602993,Red Line,77,EDGEWATER
41430,87th,41.73537121137496,-87.62475307324942,573440,Red Line,44,CHATHAM
40430,Clinton-Forest Park,41.88062116433759,-87.64137776042992,567970,"Blue Line, Green (Lake), Pink",28,NEAR WEST SIDE
41170,Garfield-Dan Ryan,41.795418262115,-87.63116917003116,562623,Red Line,37,FULLER PARK
41210,Wellington,41.936032602681166,-87.65326645004653,560853,"Brown, Purple (Express)",6,LAKE VIEW
41340,LaSalle,41.87556762595072,-87.63172207547264,540910,Blue Line,32,LOOP
40120,35th/Archer,41.82956008804762,-87.68058736862578,540177,Orange Line,59,MCKINLEY PARK
41240,Addison-O'Hare,41.9473601024952,-87.71909930215281,538224,Blue Line,16,IRVING PARK
41380,Bryn Mawr,41.983504225254826,-87.65884028505945,537773,Red Line,77,EDGEWATER
41310,Paulina,41.94370914853047,-87.67088394357924,527041,Brown Line,6,LAKE VIEW
41130,Halsted-Orange,41.84690144087429,-87.64813110426746,526438,Orange Line,60,BRIDGEPORT
41460,Irving Park-Brown,41.95452313953493,-87.67495574333226,508676,Brown Line,5,NORTH CENTER
40090,Damen-Brown,41.91046291739687,-87.67730449019199,501839,"Brown Line, Pink",24,WEST TOWN
41330,Montrose-O'Hare,41.96148663304084,-87.74361697430824,487000,Blue Line,16,IRVING PARK
40160,LaSalle/Van Buren,41.87685533507961,-87.63173383435944,481723,"Brown, Orange, Pink, Purple (Express)",32,LOOP
40750,Harlem-O'Hare,41.982323370406654,-87.80889493503287,466558,Blue Line (O'Hare),10,NORWOOD PARK
41230,47th-Dan Ryan,41.81033813281231,-87.63102579710096,465526,Red Line,37,FULLER PARK
40910,63rd-Dan Ryan,41.78053433456898,-87.63100044907034,446148,Red Line,68,ENGLEWOOD
41500,Montrose-Brown,41.96175171130978,-87.67516539063618,445332,Brown Line,4,LINCOLN SQUARE
41690,Cermak-McCormick Place,41.85311508341227,-87.62640238492894,438767,Green Line,33,NEAR SOUTH SIDE
40830,18th,41.85790770843142,-87.6691601248801,438444,Pink,31,LOWER WEST SIDE
41180,Kedzie-Brown,41.87722317466901,-87.70618695886071,414295,"Brown Line, Green Line (Lake), Orange Line, Pink",27,EAST GARFIELD PARK
40810,Medical Center,41.87563542876877,-87.67394587971816,413641,Blue Line,28,NEAR WEST SIDE
40280,Central-Lake,41.8873890144414,-87.76564950550599,398019,Green Line (Lake),25,AUSTIN
41440,Addison-Brown,41.94702865537702,-87.6747361074464,373330,Brown Line,5,NORTH CENTER
40210,Damen-Cermak,41.91046291739687,-87.67730449019199,359902,"Brown Line, Pink",24,WEST TOWN
41060,Ashland-Orange,41.86233363718643,-87.66613129997071,353744,"Green (Lake), Orange Line, Pink",28,NEAR WEST SIDE
40440,California-Cermak,41.86924958097676,-87.69552856582723,342322,"Green Line (Lake), Pink",27,EAST GARFIELD PARK
41190,Jarvis,42.01587618094787,-87.6690921120182,335843,Red Line,1,ROGERS PARK
41120,35-Bronzeville-IIT,41.83167802166354,-87.62588147448886,314569,Green Line,35,DOUGLAS
41010,Rockwell,41.96620994947778,-87.69411112481461,306999,Brown Line,4,LINCOLN SQUARE
40420,Cicero-Cermak,41.87001737300212,-87.7450708626563,293518,"Blue Line (Congress), Green Line (Lake), Pink",25,AUSTIN
40250,Kedzie-Homan-Forest Park,41.87442550900997,-87.70597829539031,289287,Blue Line (Congress),27,EAST GARFIELD PARK
40870,Francisco,41.96614689588972,-87.70165573251133,287317,Brown Line,14,ALBANY PARK
40030,Pulaski-Lake,41.85326133894191,-87.72495126654842,283758,"Blue Line (Congress), Green Line (Lake), Orange Line, Pink",29,NORTH LAWNDALE
40740,Western-Cermak,41.87521500493779,-87.6865453311916,281312,"Blue Line (Congress), Brown Line, Orange Line, Pink",28,NEAR WEST SIDE
41040,Kedzie-Cermak,41.87722317466901,-87.70618695886071,270234,"Brown Line, Green Line (Lake), Orange Line, Pink",27,EAST GARFIELD PARK
40780,Central Park,41.85399195494557,-87.71488026411758,247638,Pink,29,NORTH LAWNDALE
40150,Pulaski-Cermak,41.85326133894191,-87.72495126654842,245081,"Blue Line (Congress), Green Line (Lake), Orange Line, Pink",29,NORTH LAWNDALE
