station_id,station_name,line_name,lat,lon
10,Austin-Congress,Blue Line,41.87088639373906,-87.77678526925513
20,Harlem-Lake,Green Line (Lake),41.88684830347631,-87.80317598719213
30,Pulaski-Lake,Green Line (Lake),41.88541197969969,-87.72540376831816
40,Quincy/Wells,"Brown, Orange, Pink, Purple (Express)",41.87872328348997,-87.63373997596631
50,Davis,"Purple Line, Evanston Express",42.04771009459835,-87.68354292586837
60,Belmont-O'Hare,Blue Line,41.93813166977897,-87.71235935057341
70,Jackson/Dearborn,Blue Line,41.87818251886981,-87.62929566463735
80,Sheridan,Red Line,41.95377494743192,-87.65492939219291
90,Damen-Ravenswood,Brown Line,41.96641097276443,-87.67863488433056
100,Morse,Red Line,42.00836181944307,-87.6659090897442
120,35th/Archer,Orange Line,41.829560088047614,-87.68058736862578
130,51st,Green Line,41.80209158434365,-87.61850159987594
140,Dempster-Skokie,Yellow Line,42.03895069338699,-87.75191862595247
150,Pulaski-Douglas,Pink Line,41.85385683122457,-87.72432672502005
160,LaSalle/Van Buren,"Brown, Orange, Pink, Purple (Express)",41.87685533507961,-87.63173383435944
170,Ashland-Lake,"Green (Lake), Pink",41.885311395579535,-87.6669509366128
180,Oak Park-Congress,Blue Line,41.8721079742148,-87.79160214979832
190,Sox-35th-Dan Ryan,Red Line,41.831190560189036,-87.63063629512068
210,Damen,Pink Line,41.854514862029305,-87.67597409605341
220,Western-Congress,Blue Line (Congress),41.87552957397782,-87.68843451104553
230,Cumberland,Blue Line,41.984294057828016,-87.83802598504772
240,79th,Red Line,41.750412342729696,-87.62517835384935
250,Kedzie-Homan,Blue Line (Congress),41.87442550900997,-87.70597829539031
260,State/Lake,"Brown, Orange, Pink,  Purple (Express), Green",41.88574041081893,-87.62783518066094
270,Main,"Purple Line, Evanston Express",42.03345571051573,-87.67953792271051
280,Central-Lake,Green Line (Lake),41.887389014441396,-87.76564950550599
290,Ashland/63rd,Green Line (Englewood),41.77895340563769,-87.6638448484402
300,Indiana,Green Line,41.8218151964997,-87.62146281101369
310,Western-Midway,Orange Line,41.80468356005486,-87.6840649867607
320,Division/Milwaukee,Blue Line,41.90335508549131,-87.66649606690225
330,Grand/State,Red Line,41.891665201383724,-87.62802125739587
340,Berwyn,Red Line,41.97798399254405,-87.65866841969589
350,UIC-Halsted,Blue Line,41.8755162091606,-87.64964223079026
