year,GEOID,NAME,state,county,tract,pop_total,median_hh_income,hh_total,hh_no_vehicle,disability_total,disability_with,age_65_plus,pct_65_plus,pct_no_vehicle_hh,pct_disabled
2024,17031221200,Census Tract 2212; Cook County; Illinois,17,031,221200,3096,127795.0,1285,278,3096,722,158,0.05103359173126615,0.21634241245136188,0.23320413436692505
2024,17031221300,Census Tract 2213; Cook County; Illinois,17,031,221300,2769,89158.0,1539,441,2769,320,287,0.10364752618273745,0.28654970760233917,0.1155651859877212
2024,17031221400,Census Tract 2214; Cook County; Illinois,17,031,221400,2995,100565.0,1562,490,2995,335,249,0.08313856427378966,0.31370038412291934,0.11185308848080133
2024,17031221500,Census Tract 2215; Cook County; Illinois,17,031,221500,3237,92193.0,1548,490,3237,598,513,0.15848007414272475,0.3165374677002584,0.18473895582329317
2024,17031221600,Census Tract 2216; Cook County; Illinois,17,031,221600,3406,145625.0,1450,277,3406,799,211,0.06194950088079859,0.1910344827586207,0.23458602466236053
2024,17031222200,Census Tract 2222; Cook County; Illinois,17,031,222200,2151,176711.0,992,191,2151,480,24,0.011157601115760111,0.19254032258064516,0.22315202231520223
2024,17031222500,Census Tract 2225; Cook County; Illinois,17,031,222500,1241,159468.0,554,86,1241,246,53,0.0427074939564867,0.1552346570397112,0.1982272360999194
2024,17031222600,Census Tract 2226; Cook County; Illinois,17,031,222600,1465,97632.0,708,186,1465,190,73,0.049829351535836175,0.2627118644067797,0.1296928327645051
2024,17031222700,Census Tract 2227; Cook County; Illinois,17,031,222700,2035,88158.0,830,116,2034,523,150,0.07371007371007371,0.13975903614457832,0.25712881022615536
2024,17031222800,Census Tract 2228; Cook County; Illinois,17,031,222800,945,73403.0,449,59,945,128,47,0.04973544973544974,0.13140311804008908,0.13544973544973546
2024,17031222900,Census Tract 2229; Cook County; Illinois,17,031,222900,1171,92386.0,426,62,1171,235,48,0.04099060631938514,0.14553990610328638,0.20068317677198974
2024,17031230100,Census Tract 2301; Cook County; Illinois,17,031,230100,1516,84453.0,645,260,1516,272,81,0.05343007915567282,0.40310077519379844,0.17941952506596306
2024,17031230200,Census Tract 2302; Cook County; Illinois,17,031,230200,1936,96471.0,682,95,1936,350,6,0.0030991735537190084,0.13929618768328444,0.18078512396694216
