station_id,station_name,STATION_ID,LONGNAME,LINES,score
41260,Austin-Lake,1160,Clinton-Lake,"Green (Lake), Pink",0.7563131313131314
41260,Austin-Lake,1310,Paulina,Brown Line,0.7453102453102454
41260,Austin-Lake,170,Ashland-Lake,"Green (Lake), Pink",0.7431818181818182
41260,Austin-Lake,380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",0.7151515151515152
41260,Austin-Lake,280,Central-Lake,Green Line (Lake),0.7146464646464646
41260,Austin-Lake,490,Grand/Milwaukee,Blue Line (O'Hare),0.7118686868686869
41260,Austin-Lake,590,Damen/Milwaukee,Blue Line,0.7118686868686869
41260,Austin-Lake,670,Western/Milwaukee,Blue Line (O'Hare),0.708457120221826
41260,Austin-Lake,30,Pulaski-Lake,Green Line (Lake),0.7079124579124579
41270,43rd,1270,43rd,Green Line,1.0
41280,Jefferson Park,1280,Jefferson Park,Blue Line,1.0
41280,Jefferson Park,390,Forest Park,Blue Line,0.8077922077922078
41290,Kimball,1290,Kimball,Brown Line,1.0
41300,Loyola,1300,Loyola,Red Line,1.0
41310,Paulina,1310,Paulina,Brown Line,1.0
41310,Paulina,30,Pulaski-Lake,Green Line (Lake),0.7571428571428572
41310,Paulina,1260,Austin-Lake,Green Line (Lake),0.7453102453102454
41310,Paulina,960,Pulaski-Midway,Orange Line,0.7357142857142858
41310,Paulina,270,Main,"Purple Line, Evanston Express",0.7261904761904763
41320,Belmont-North Main,1320,Belmont-North Main,"Red, Brown, Purple (Express)",1.0
41320,Belmont-North Main,60,Belmont-O'Hare,Blue Line,0.9147741147741147
41320,Belmont-North Main,1420,Addison-North Main,Red Line,0.7635327635327634
41330,Montrose-O'Hare,1330,Montrose-O'Hare,Blue Line,1.0
41330,Montrose-O'Hare,1500,Montrose-Ravenswood,Brown Line,0.8947908232118758
41330,Montrose-O'Hare,1090,Monroe/State,Red Line,0.8546969696969696
41330,Montrose-O'Hare,790,Monroe/Dearborn,Blue Line,0.8543434343434343
41330,Montrose-O'Hare,100,Morse,Red Line,0.8222222222222222
41330,Montrose-O'Hare,60,Belmont-O'Hare,Blue Line,0.8023809523809523
41330,Montrose-O'Hare,750,Harlem-O'Hare,Blue Line (O'Hare),0.7452991452991453
41330,Montrose-O'Hare,820,Rosemont,Blue Line,0.7194444444444444
41330,Montrose-O'Hare,390,Forest Park,Blue Line,0.7118686868686869
41340,LaSalle,1340,LaSalle,Blue Line,1.0
41340,LaSalle,160,LaSalle/Van Buren,"Brown, Orange, Pink, Purple (Express)",0.8823529411764706
41340,LaSalle,700,Laramie,Green Line (Lake),0.7714285714285715
41340,LaSalle,170,Ashland-Lake,"Green (Lake), Pink",0.7301587301587302
41340,LaSalle,30,Pulaski-Lake,Green Line (Lake),0.7103174603174603
41350,Oak Park-Lake,1350,Oak Park-Lake,Green Line (Lake),1.0
41350,Oak Park-Lake,180,Oak Park-Congress,Blue Line,0.8714932126696833
41350,Oak Park-Lake,1690,Cermak-McCormick Place,Green Line,0.7079254079254079
41360,California-Lake,1360,California-Lake,Green Line (Lake),1.0
41360,California-Lake,570,California/Milwaukee,Blue Line (O'Hare),0.95
41360,California-Lake,440,California-Douglas,Pink,0.9177777777777778
41360,California-Lake,1160,Clinton-Lake,"Green (Lake), Pink",0.7899999999999999
41360,California-Lake,380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",0.7833333333333332
41360,California-Lake,280,Central-Lake,Green Line (Lake),0.76
41360,California-Lake,480,Cicero-Lake,Green Line (Lake),0.7587878787878789
41360,California-Lake,170,Ashland-Lake,"Green (Lake), Pink",0.7462962962962963
41360,California-Lake,710,Chicago/Franklin,"Brown, Purple (Express)",0.74
41380,Bryn Mawr,1380,Bryn Mawr,Red Line,1.0
41380,Bryn Mawr,340,Berwyn,Red Line,0.7333333333333334
41400,Roosevelt,1400,Roosevelt/State,Red Line,0.92
41400,Roosevelt,410,Roosevelt/Wabash,Orange & Green Lines,0.9125
41400,Roosevelt,820,Rosemont,Blue Line,0.8
41410,Chicago/Milwaukee,1410,Chicago/Milwaukee,Blue Line,1.0
41410,Chicago/Milwaukee,1450,Chicago/State,Red Line,0.8714932126696833
41410,Chicago/Milwaukee,710,Chicago/Franklin,"Brown, Purple (Express)",0.857843137254902
41410,Chicago/Milwaukee,490,Grand/Milwaukee,Blue Line (O'Hare),0.7797385620915033
41410,Chicago/Milwaukee,570,California/Milwaukee,Blue Line (O'Hare),0.771344537815126
41410,Chicago/Milwaukee,590,Damen/Milwaukee,Blue Line,0.7631610219845514
41410,Chicago/Milwaukee,480,Cicero-Lake,Green Line (Lake),0.7376114081996434
41410,Chicago/Milwaukee,320,Division/Milwaukee,Blue Line,0.7352941176470589
41410,Chicago/Milwaukee,380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",0.733529411764706
41420,Addison-North Main,1420,Addison-North Main,Red Line,1.0
41420,Addison-North Main,1240,Addison-O'Hare,Blue Line,0.9147741147741147
41420,Addison-North Main,1440,Addison-Ravenswood,Brown Line,0.8333333333333334
41420,Addison-North Main,1320,Belmont-North Main,"Red, Brown, Purple (Express)",0.7635327635327634
41430,87th,1430,87th,Red Line,1.0
41430,87th,240,79th,Red Line,0.8333333333333334
41430,87th,830,18th,Pink,0.8333333333333334
41440,Addison-Brown,1440,Addison-Ravenswood,Brown Line,0.9012820512820513
41440,Addison-Brown,1240,Addison-O'Hare,Blue Line,0.8767032967032967
41440,Addison-Brown,1420,Addison-North Main,Red Line,0.8732711732711733
41450,Chicago/State,1450,Chicago/State,Red Line,1.0
41450,Chicago/State,1410,Chicago/Milwaukee,Blue Line,0.8714932126696833
41450,Chicago/State,710,Chicago/Franklin,"Brown, Purple (Express)",0.8509615384615385
41450,Chicago/State,1660,Lake/State,Red Line,0.7461538461538462
41450,Chicago/State,330,Grand/State,Red Line,0.7392191142191141
41450,Chicago/State,560,Jackson/State,Red Line,0.7207977207977208
41460,Irving Park-Brown,1460,Irving Park-Ravenswood,Brown Line,0.9211898395721925
41460,Irving Park-Brown,550,Irving Park-O'Hare,Blue Line,0.9059757236227824
41480,Western-Brown,1480,Western-Ravenswood,Brown Line,0.9012820512820513
41480,Western-Brown,220,Western-Congress,Blue Line (Congress),0.888548951048951
41480,Western-Brown,310,Western-Midway,Orange Line,0.8670329670329671
41480,Western-Brown,740,Western-Douglas,Pink,0.8584615384615384
41480,Western-Brown,670,Western/Milwaukee,Blue Line (O'Hare),0.8443438914027149
41490,Harrison,1490,Harrison,Red Line,1.0
41490,Harrison,630,Clark/Division,Red Line,0.7261904761904763
41490,Harrison,540,Wilson,"Purple, Red Line",0.7222222222222222
41490,Harrison,1190,Jarvis,Red Line,0.7222222222222222
41500,Montrose-Brown,1500,Montrose-Ravenswood,Brown Line,0.9071717755928284
41500,Montrose-Brown,1330,Montrose-O'Hare,Blue Line,0.8856277056277057
41500,Montrose-Brown,790,Monroe/Dearborn,Blue Line,0.8665656565656567
41500,Montrose-Brown,100,Morse,Red Line,0.8285714285714285
41500,Montrose-Brown,820,Rosemont,Blue Line,0.7321428571428571
41510,Morgan-Lake,1510,Morgan,"Green (Lake), Pink",0.9090909090909091
41510,Morgan-Lake,490,Grand/Milwaukee,Blue Line (O'Hare),0.791919191919192
41510,Morgan-Lake,1260,Austin-Lake,Green Line (Lake),0.7575757575757575
41510,Morgan-Lake,1020,Logan Square,Blue Line,0.73989898989899
41510,Morgan-Lake,380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",0.7311688311688312
41510,Morgan-Lake,260,State/Lake,"Brown, Orange, Pink,  Purple (Express), Green",0.7151515151515152
41510,Morgan-Lake,280,Central-Lake,Green Line (Lake),0.7146464646464646
41510,Morgan-Lake,590,Damen/Milwaukee,Blue Line,0.7118686868686869
41510,Morgan-Lake,330,Grand/State,Red Line,0.7099567099567099
41510,Morgan-Lake,660,Armitage,"Brown, Purple (Express)",0.7095959595959597
41660,Lake/State,1660,Lake/State,Red Line,1.0
41660,Lake/State,330,Grand/State,Red Line,0.7787878787878788
41660,Lake/State,560,Jackson/State,Red Line,0.7634615384615385
