year,GEOID,NAME,state,county,tract,pop_total,median_hh_income,hh_total,hh_no_vehicle,disability_total,disability_with,age_65_plus,pct_65_plus,pct_no_vehicle_hh,pct_disabled,transportation_need_index_0_100,need_quintile
2024,17031812900,Census Tract 8129; Cook County; Illinois,17,31,812900,4706,141750,1677,142,4671,1371,859,0.182532936676583,0.084675014907573,0.2935131663455363,52.92,High
2024,17031813000,Census Tract 8130; Cook County; Illinois,17,31,813000,3678,170286,1441,133,3678,1075,374,0.1016856987493202,0.0922970159611381,0.2922784121805329,40.36,Low
2024,17031813100,Census Tract 8131; Cook County; Illinois,17,31,813100,4256,116250,1843,67,4256,847,928,0.2180451127819548,0.0363537710255019,0.1990131578947368,40.9,Low
2024,17031813200,Census Tract 8132; Cook County; Illinois,17,31,813200,4483,140346,1593,73,4483,1284,499,0.1113093910327905,0.0458254865034526,0.286415346865938,38.16,Low
2024,17031813301,Census Tract 8133.01; Cook County; Illinois,17,31,813301,2758,52422,959,125,2758,813,244,0.0884699057287889,0.1303441084462982,0.294778825235678,60.82,High
2024,17031813302,Census Tract 8133.02; Cook County; Illinois,17,31,813302,3062,61250,952,53,3062,772,101,0.0329849771391247,0.055672268907563,0.2521227955584585,45.11,Moderate
2024,17031813400,Census Tract 8134; Cook County; Illinois,17,31,813400,8309,83099,2056,231,8309,2564,798,0.0960404380791912,0.1123540856031128,0.3085810566855217,53.46,High
2024,17031813500,Census Tract 8135; Cook County; Illinois,17,31,813500,6481,78890,2143,131,6437,1334,878,0.1354729208455485,0.0611292580494633,0.2072393972347366,43.16,Low
2024,17031813600,Census Tract 8136; Cook County; Illinois,17,31,813600,5084,56846,1626,161,5084,1348,429,0.0843823760818253,0.0990159901599016,0.2651455546813532,54.99,High
2024,17031813701,Census Tract 8137.01; Cook County; Illinois,17,31,813701,3112,55250,968,160,3112,716,227,0.0729434447300771,0.1652892561983471,0.2300771208226221,53.29,High
2024,17031813702,Census Tract 8137.02; Cook County; Illinois,17,31,813702,4282,78750,1205,87,4282,961,428,0.0999532928538066,0.0721991701244813,0.2244278374591312,42.42,Low
2024,17031813801,Census Tract 8138.01; Cook County; Illinois,17,31,813801,3090,52218,997,181,3090,817,452,0.1462783171521035,0.1815446339017051,0.2644012944983819,68.4,Very High
2024,17031813802,Census Tract 8138.02; Cook County; Illinois,17,31,813802,4985,76250,1410,142,4985,1626,466,0.0934804413239719,0.100709219858156,0.3261785356068205,55.01,High
2024,17031813900,Census Tract 8139; Cook County; Illinois,17,31,813900,6419,79180,1705,107,6084,1348,695,0.1082723165602118,0.0627565982404692,0.2215647600262985,42.09,Low
2024,17031814000,Census Tract 8140; Cook County; Illinois,17,31,814000,4666,62566,1430,54,4658,1140,521,0.1116588084012001,0.0377622377622377,0.244740231859167,47.42,Moderate
2024,17031814100,Census Tract 8141; Cook County; Illinois,17,31,814100,4662,61867,1333,190,4662,1162,493,0.1057486057486057,0.1425356339084771,0.2492492492492492,57.22,High
2024,17031814200,Census Tract 8142; Cook County; Illinois,17,31,814200,8078,74178,2266,229,8078,2123,659,0.0815795989106214,0.1010591350397175,0.2628125773706363,50.07,Moderate
2024,17031814300,Census Tract 8143; Cook County; Illinois,17,31,814300,4631,53991,1596,179,4631,1137,498,0.107536169293889,0.1121553884711779,0.2455193262794213,56.77,High
2024,17031814400,Census Tract 8144; Cook County; Illinois,17,31,814400,7581,74173,2279,169,7558,1936,1455,0.1919271863870202,0.0741553312856516,0.2561524212754697,61.76,High
2024,17031814500,Census Tract 8145; Cook County; Illinois,17,31,814500,5597,92344,1507,62,5167,1529,794,0.141861711631231,0.0411413404114134,0.295916392490807,48.84,Moderate
2024,17031814600,Census Tract 8146; Cook County; Illinois,17,31,814600,5278,102987,1758,166,5278,1023,687,0.130162940507768,0.0944254835039817,0.193823417961349,37.54,Very Low
2024,17031814700,Census Tract 8147; Cook County; Illinois,17,31,814700,5348,79576,1849,148,5348,1299,729,0.1363126402393418,0.0800432666306111,0.2428945400149588,50.55,Moderate
2024,17031814800,Census Tract 8148; Cook County; Illinois,17,31,814800,6671,66724,2613,392,6671,1375,1130,0.1693898965672313,0.1500191350937619,0.2061160245840204,58.54,High
2024,17031814900,Census Tract 8149; Cook County; Illinois,17,31,814900,6824,62336,2906,278,6824,1504,698,0.1022860492379835,0.0956641431520991,0.2203985932004689,48.97,Moderate
2024,17031815000,Census Tract 8150; Cook County; Illinois,17,31,815000,4113,82648,1393,115,4113,937,536,0.1303185023097495,0.0825556353194544,0.2278142475079017,46.72,Moderate
2024,17031815100,Census Tract 8151; Cook County; Illinois,17,31,815100,4165,86262,1435,53,4165,844,500,0.120048019207683,0.0369337979094076,0.202641056422569,35.13,Very Low
2024,17031815200,Census Tract 8152; Cook County; Illinois,17,31,815200,6647,69775,2472,312,6647,1405,873,0.1313374454641191,0.1262135922330097,0.2113735519783361,51.27,Moderate
2024,17031815300,Census Tract 8153; Cook County; Illinois,17,31,815300,3616,102361,1391,45,3616,713,605,0.1673119469026548,0.0323508267433501,0.197179203539823,36.97,Very Low
2024,17031815400,Census Tract 8154; Cook County; Illinois,17,31,815400,5476,62592,2485,178,5387,1016,1112,0.2030679327976625,0.0716297786720322,0.1886021904585112,54.75,High
2024,17031815500,Census Tract 8155; Cook County; Illinois,17,31,815500,7457,88244,2174,149,7457,2347,755,0.1012471503285503,0.0685372585096596,0.3147378302266327,49.24,Moderate
2024,17031815600,Census Tract 8156; Cook County; Illinois,17,31,815600,5363,76667,2212,209,5301,1060,1173,0.2187208651873951,0.0944846292947558,0.1999622712695717,56.49,High
2024,17031815701,Census Tract 8157.01; Cook County; Illinois,17,31,815701,3891,186667,1384,41,3891,1149,613,0.1575430480596247,0.0296242774566473,0.2952968388589052,40.33,Low
2024,17031815702,Census Tract 8157.02; Cook County; Illinois,17,31,815702,5047,147694,2019,143,5047,1211,1067,0.211412720427977,0.070827142149579,0.2399445214979195,48.54,Moderate
2024,17031815800,Census Tract 8158; Cook County; Illinois,17,31,815800,1941,113958,733,21,1913,530,258,0.1329211746522411,0.0286493860845839,0.2770517511761631,40.56,Low
2024,17031815900,Census Tract 8159; Cook County; Illinois,17,31,815900,4746,76875,2785,237,4746,648,1121,0.2361989043404972,0.0850987432675045,0.13653603034134,50.27,Moderate
2024,17031816000,Census Tract 8160; Cook County; Illinois,17,31,816000,3164,90644,1679,172,3164,495,578,0.1826801517067003,0.1024419297200714,0.1564475347661188,44.36,Low
2024,17031816100,Census Tract 8161; Cook County; Illinois,17,31,816100,6033,70225,2621,420,5774,1115,952,0.1577987734128957,0.1602441816100724,0.1931070315206096,53.85,High
2024,17031816200,Census Tract 8162; Cook County; Illinois,17,31,816200,4212,75735,1852,234,4212,956,955,0.22673314339981,0.1263498920086393,0.2269705603038936,64.17,Very High
2024,17031816300,Census Tract 8163; Cook County; Illinois,17,31,816300,4670,66331,1577,203,4657,970,566,0.1211991434689507,0.128725428027901,0.2082885978097487,50.39,Moderate
