GEOID,community_area,weight
17031030101,77,1.0
17031030701,77,1.0
17031070103,7,1.0
17031807900,12,1.0
17031808001,12,1.0
17031808002,2,0.9964425770492809
17031808002,13,0.0035574229507190774
17031770602,76,1.0
17031831900,5,9.103074770234243e-06
17031831900,6,0.9999908969252298
17031832600,7,0.9918755340684857
17031832600,8,6.19751126741315e-05
17031832600,22,1.3748380257704012e-06
17031832600,24,0.008061115980814364
17031836900,27,1.0
17031841200,28,0.022016206102522147
17031841200,29,0.004890671606347761
17031841200,30,0.008829213233921957
17031841200,31,0.964263909057208
17031839500,35,1.0
17031835800,38,1.0
17031838800,50,0.002604913895024695
17031838800,51,0.9957403285878809
17031838800,52,5.855412495005832e-05
17031838800,54,0.0003587765522412217
17031838800,55,0.0012374268399030482
17031842300,7,2.4949482082919087e-05
17031842300,8,0.017649601675882955
17031842300,22,0.0002681663294416778
17031842300,24,0.9820415906278109
17031842300,28,1.5691884781607344e-05
17031841900,28,0.9981430593933539
17031841900,31,1.3429615694037184e-05
17031841900,32,0.00011236858624093551
17031841900,33,0.0017311424047111107
17031843200,28,0.00028314761827609046
17031843200,31,0.9933986947636663
17031843200,33,1.8637479356466482e-06
17031843200,34,0.002577731647751188
17031843200,59,0.0018137621905035405
17031843200,60,0.0019248000318673156
17031843400,29,0.9839519474420849
17031843400,30,0.01604805255791508
17031842600,37,0.0019263769347444887
17031842600,59,7.411863440487361e-07
17031842600,60,8.538773555356867e-06
17031842600,61,0.9980643431053561
17031301803,30,1.0
17031320101,8,0.006424304445848754
17031320101,32,0.9935756955541513
17031330103,33,1.0
17031380600,34,1.9754800003161722e-07
17031380600,35,5.746626601051424e-06
17031380600,37,5.184904794976787e-05
17031380600,38,0.9999422067774492
17031330102,32,0.0072135948137379245
17031330102,33,0.992786405186262
17031330101,32,0.0029898820962729676
17031330101,33,0.9970101179037271
17031460800,46,0.9999813673326012
17031460800,48,1.863266739880885e-05
17031630600,58,0.007467378543655196
17031630600,61,0.0005467752769445969
17031630600,63,0.9919858461794002
17031490200,44,0.00011053097907129835
17031490200,49,0.9998894690209287
17031612200,61,1.0
17031844700,29,0.9998609413869323
17031844700,30,0.00013905861306771458
17031844600,37,0.00032927334013592365
17031844600,38,0.9996707266598641
17031320102,8,0.006808605492994987
17031320102,32,0.993191394507005
17031220701,22,1.0
17031063302,6,0.9999796278857176
17031063302,7,2.0372114282358185e-05
17031252201,25,1.0
17031660302,63,6.283597627726234e-06
17031660302,66,0.9999937164023722
17031660301,66,1.0
17031730202,71,0.0014736045375627553
17031730202,73,0.9985263954624373
17031813302,25,0.008414005681776277
17031813302,29,0.9915859943182237
17031813301,25,1.0
17031835600,37,0.9956277049873846
17031835600,38,0.0032427050685978694
17031835600,40,0.0010694575975039391
17031835600,61,3.0679335958334855e-09
17031835600,68,6.012927858006745e-05
17031840000,34,0.03360300682825586
17031840000,60,0.966381458213027
17031840000,61,1.553495871716587e-05
17031836400,36,0.9994856448659821
17031836400,38,7.228420616403787e-05
17031836400,39,0.0004420709278538571
17031836100,37,0.0005695319070775713
17031836100,38,2.7823135988505664e-05
17031836100,40,0.999399584776443
17031836100,41,3.0496346923320255e-06
17031836100,68,1.054579856670027e-08
17031834600,37,8.110460529635531e-06
17031834600,40,0.0009250232681728217
17031834600,61,7.394689638031042e-06
17031834600,68,0.9990425592220723
17031834600,69,1.6912359587310046e-05
17031843600,38,0.999849700911117
17031843600,39,0.00013448529790540653
17031843600,40,1.5813029780295623e-05
17031843600,41,7.611972268825305e-10
17031061902,6,1.0
17031030102,77,1.0
17031030103,77,1.0
17031030706,3,2.278084034175387e-05
17031030706,77,0.9999772191596582
17031030601,77,1.0
17031081202,8,1.0
17031063303,6,0.9981168466123539
17031063303,7,0.0018831533876460433
17031220901,20,0.0002153050325792208
17031220901,22,0.9997846949674207
17031210602,21,0.9999240784598133
17031210602,22,7.592154018670142e-05
17031220602,21,0.00011837716062094242
17031220602,22,0.9998816228393791
17031220601,22,1.0
17031040401,4,1.0
17031252202,25,0.9999773930591229
17031252202,26,2.260694087717627e-05
17031252102,25,1.0
17031836300,39,1.6174470078091322e-05
17031836300,40,1.3295762242089035e-05
17031836300,41,0.9999705297676799
17031834500,40,0.9984052668960287
17031834500,68,0.001574637906153647
17031834500,69,2.0095197817559096e-05
17031836000,36,5.376936019070832e-10
17031836000,38,0.9999221093099043
17031836000,39,7.789015240209093e-05
17031836200,40,1.6717910772119936e-05
17031836200,41,0.9998982756122147
17031836200,42,8.500647701323756e-05
17031834400,42,0.9999555919240463
17031834400,69,4.440807595371886e-05
17031834300,43,2.1765317185932192e-05
17031834300,44,0.02367288140694602
17031834300,45,0.9750457436613319
17031834300,48,1.5335256741214844e-05
17031834300,69,0.0012442743577948403
17031070101,6,0.006664796211894504
17031070101,7,0.9933352037881055
17031110501,11,0.9999837410796221
17031110501,12,1.62589203779264e-05
17031030104,1,0.009489458985118566
17031030104,77,0.9905105410148815
17031081401,8,1.0
17031430102,42,1.7412550457861864e-10
17031430102,43,0.9999999998258745
