station_id,station_name,STATION_ID,LONGNAME,LINES
40210,Damen-Cermak,210.0,Damen,Pink
40250,Kedzie-Homan-Forest Park,250.0,Kedzie-Homan,Blue Line (Congress)
41510,Morgan-Lake,1510.0,Morgan,"Green (Lake), Pink"
