the_geom,station_id,longname,lines,address,ada,pknrd,point_x,point_y,legend
POINT (-87.71488026411758 41.85399195494557),780,Central Park,Pink Line,1915 S. Central Park Avenue,True,False,1152737.52861689,1889991.51591303,Pink Line
POINT (-87.66531166332861 41.83935587879333),1060,Ashland-Midway,Orange Line,3011 S. Ashland Avenue,True,False,1166283.2435735,1884759.33773216,Orange Line
POINT (-87.67743665449984 41.90974379246453),590,Damen/Milwaukee,Blue Line,1558 N. Damen Avenue,False,False,1162783.21413024,1910383.12246002,Blue Line
POINT (-87.68333688171246 42.05828247066971),400,Noyes,"Purple Line, Evanston Express",901 W. Noyes Street,False,False,1160766.40312037,1964499.18036642,Multiple Lines
POINT (-87.81731777906768 41.87425731129019),390,Forest Park,Blue Line,711 S. Des Plaines Avenue,True,True,1124785.60718286,1897191.79239974,Blue Line
POINT (-87.69623421620008 41.88421953162615),1360,California-Lake,Green Line (Lake),2800 W. Lake Street,True,False,1157735.61553354,1901043.52283533,Green Line
POINT (-87.62441474538349 41.722375984242476),450,95th/Dan Ryan,Red Line,14 W. 95th Street,True,False,1177778.98067221,1842222.00572454,Red Line
POINT (-87.63930216454519 41.910409180297236),800,Sedgwick,"Brown, Purple (Express)",1536 N. Sedgwick Avenue,True,False,1173161.40626791,1910707.27350033,Multiple Lines
POINT (-87.67394587971816 41.87563542876877),810,Illinois Medical District,Blue Line,430 S. Damen Avenue,True,False,1163828.91499522,1897961.33198446,Blue Line
POINT (-87.68058736862578 41.829560088047614),120,35th/Archer,Orange Line,3528 S. Leavitt Street,True,True,1162147.77912165,1881157.78688081,Orange Line
POINT (-87.6690921120182 42.01587618094786),1190,Jarvis,Red Line,1523 W. Jarvis Street,False,False,1164754.77227608,1949075.67852806,Red Line
POINT (-87.62609789982032 41.879510219372655),680,Adams/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",201 S. Wabash Avenue,False,False,1176848.36665534,1899477.04526587,Multiple Lines
POINT (-87.6669509366128 41.885311395579535),170,Ashland-Lake,"Green (Lake), Pink",1601 W. Lake Street,True,False,1165706.56389297,1901501.95688375,Multiple Lines
