service_date,bus,rail_boardings,total_rides
2024-05-12T00:00:00.000,318883,203067,521950
2024-05-13T00:00:00.000,550608,349237,899845
2024-05-14T00:00:00.000,598482,410254,1008736
2024-05-15T00:00:00.000,615430,419635,1035065
2024-05-16T00:00:00.000,601542,434466,1036008
2024-05-17T00:00:00.000,595193,402254,997447
2024-05-18T00:00:00.000,430341,315833,746174
2024-05-19T00:00:00.000,329129,250996,580125
2024-05-20T00:00:00.000,561715,366053,927768
2024-05-21T00:00:00.000,618559,443937,1062496
2024-05-22T00:00:00.000,621123,450124,1071247
2024-05-23T00:00:00.000,609570,457738,1067308
2024-05-24T00:00:00.000,557209,368883,926092
2024-05-25T00:00:00.000,420064,342285,762349
2024-05-26T00:00:00.000,279820,220267,500087
2024-05-27T00:00:00.000,306648,205186,511834
2024-05-28T00:00:00.000,585174,396139,981313
2024-05-29T00:00:00.000,612055,423439,1035494
2024-05-30T00:00:00.000,604848,424200,1029048
2024-05-31T00:00:00.000,590998,410904,1001902
2024-06-01T00:00:00.000,359226,257545,616771
2024-06-02T00:00:00.000,347275,256837,604112
2024-06-03T00:00:00.000,594326,377947,972273
2024-06-04T00:00:00.000,602909,443126,1046035
2024-06-05T00:00:00.000,602717,450039,1052756
2024-06-06T00:00:00.000,606273,440625,1046898
2024-06-07T00:00:00.000,538174,384835,923009
2024-06-08T00:00:00.000,388074,295372,683446
2024-06-09T00:00:00.000,338317,265680,603997
2024-06-10T00:00:00.000,521105,360674,881779
2024-06-11T00:00:00.000,556731,415884,972615
2024-06-12T00:00:00.000,576142,423834,999976
2024-06-13T00:00:00.000,541343,414773,956116
2024-06-14T00:00:00.000,536639,412548,949187
2024-06-15T00:00:00.000,421892,329557,751449
2024-06-16T00:00:00.000,314305,239123,553428
2024-06-17T00:00:00.000,500089,363300,863389
2024-06-18T00:00:00.000,551782,426829,978611
2024-06-19T00:00:00.000,482860,349203,832063
2024-06-20T00:00:00.000,548449,411020,959469
2024-06-21T00:00:00.000,539303,406032,945335
2024-06-22T00:00:00.000,430009,334791,764800
2024-06-23T00:00:00.000,333514,259057,592571
2024-06-24T00:00:00.000,535003,366575,901578
2024-06-25T00:00:00.000,537591,390929,928520
2024-06-26T00:00:00.000,586929,426272,1013201
2024-06-27T00:00:00.000,573982,434454,1008436
2024-06-28T00:00:00.000,519127,372226,891353
2024-06-29T00:00:00.000,426204,296659,722863
2024-06-30T00:00:00.000,332479,322925,655404
2024-07-01T00:00:00.000,556122,362056,918178
2024-07-02T00:00:00.000,554430,411251,965681
2024-07-03T00:00:00.000,575361,404738,980099
2024-07-04T00:00:00.000,319593,237409,557002
2024-07-05T00:00:00.000,472097,346546,818643
2024-07-06T00:00:00.000,400805,322596,723401
2024-07-07T00:00:00.000,304485,241639,546124
2024-07-08T00:00:00.000,523371,364702,888073
2024-07-09T00:00:00.000,543503,400891,944394
2024-07-10T00:00:00.000,560627,409640,970267
2024-07-11T00:00:00.000,569850,418692,988542
2024-07-12T00:00:00.000,548479,381120,929599
